,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
14,Fox News,Ginsburg hopes to serve 'at least' five more years on Supreme Court https://t.co/aN2NvxMvbY,Mon Jul 30 10:44:29 +0000 2018,0.7693,0.377,0.623,0.0
15,Fox News,".@dbongino: “Tax reform was just monumental, we see now the effects on the economy, 4.1% growth.” https://t.co/zrtKXCvJPQ",Mon Jul 30 10:39:15 +0000 2018,0.0,0.0,1.0,0.0
16,Fox News,.@kayleighmcenany: “There’s this very disturbing trend within the Democratic Party towards socialism.” https://t.co/QQ6lZe3N7Z,Mon Jul 30 10:28:41 +0000 2018,-0.2247,0.156,0.636,0.208
17,Fox News,Martina White: “It’s truly shocking that the mayor was willing to end a contract that was actually helping to keep… https://t.co/rMtkvpJcCd,Mon Jul 30 10:21:47 +0000 2018,0.34,0.206,0.685,0.109
18,Fox News,Prankster puts Putin's portrait in Trump's place at Colorado Capitol https://t.co/FbHNPskAOn,Mon Jul 30 10:14:41 +0000 2018,0.0,0.0,1.0,0.0
19,Fox News,.@CarleyShimkus is live with the 'Fox News Update' on Facebook Watch: https://t.co/yq4SFGVnY5 https://t.co/D4YmT4zD2F,Mon Jul 30 10:10:32 +0000 2018,0.0,0.0,1.0,0.0
20,CNN,Twitter has hired researchers to examine the health of conversations on its platform https://t.co/0yc1x6vVNJ,Mon Jul 30 13:36:39 +0000 2018,0.0,0.0,1.0,0.0
21,CNN,"🚨 RECALL ALERT: 
A Chinese company is recalling tainted heart medicine from stores worldwide after it was found to… https://t.co/E8hHdMzHyU",Mon Jul 30 13:26:12 +0000 2018,0.4466,0.147,0.853,0.0
22,CNN,"RT @CNNPolitics: Giuliani: ""I don't even know if that's a crime, colluding about Russians. You start analyzing the crime — the hacking is t…",Mon Jul 30 13:16:22 +0000 2018,-0.8481,0.0,0.674,0.326
23,CNN,"President Donald Trump's lawyer, Rudy Giuliani, says he's not sure collusion is a crime https://t.co/NnPSNCC7Fk https://t.co/VtzTa4BDzJ",Mon Jul 30 13:16:03 +0000 2018,-0.6664,0.0,0.704,0.296
24,CNN,"In a previously undisclosed TSA program, federal air marshals are tracking American citizens not suspected of a cri… https://t.co/VJpFUR0Xfr",Mon Jul 30 13:05:41 +0000 2018,0.1695,0.094,0.906,0.0
25,CNN,The best travel photos of 2018 (so far) https://t.co/5EqHrlzZhf https://t.co/3egbBpHL2F,Mon Jul 30 12:55:11 +0000 2018,0.6369,0.318,0.682,0.0
26,CNN,'Rest in Power: The Trayvon Martin Story' leads a wave of new documentaries about racial justice… https://t.co/Fxb3q9WARp,Mon Jul 30 12:42:57 +0000 2018,0.0,0.0,1.0,0.0
27,CNN,"Top Koch network official says, ""The divisiveness of this White House is causing long-term damage""… https://t.co/1kCcq3fcr0",Mon Jul 30 12:32:44 +0000 2018,0.2023,0.107,0.893,0.0
28,CNN,President Donald Trump's re-election campaign has denied it is using Chinese manufacturers to produce campaign flag… https://t.co/xX1trbMUXm,Mon Jul 30 12:20:17 +0000 2018,-0.4404,0.0,0.847,0.153
29,CNN,"Alcohol in breast milk may lead to lower cognition in kids, study finds https://t.co/tOhWphxOWx https://t.co/HeFmBqJb7l",Mon Jul 30 12:08:02 +0000 2018,-0.296,0.0,0.864,0.136
30,CNN,A German cruise line is facing outrage after one of its employees shot and killed a wild polar bear in Norway after… https://t.co/hFdt7KMJX4,Mon Jul 30 11:55:41 +0000 2018,-0.8316,0.0,0.709,0.291
31,CNN,Man spoke with his wife in the moments before she and 2 great-grandkids died in California's Carr Fire… https://t.co/cgkcEAdV2E,Mon Jul 30 11:43:51 +0000 2018,-0.5574,0.0,0.825,0.175
32,CNN,Australian Archbishop Philip Wilson resigns after sex abuse coverup https://t.co/nG8gtm1k81 https://t.co/v9QaSRyllC,Mon Jul 30 11:32:14 +0000 2018,-0.7579,0.0,0.581,0.419
33,CNN,Safety measures will be in place to protect mourners at the funeral of a Novichok victim in the UK https://t.co/dQ9adpJkxB,Mon Jul 30 11:21:02 +0000 2018,-0.25,0.201,0.522,0.276
34,CNN,More than 4 million people have been excluded from Indian citizenship in a controversial registry… https://t.co/r90hOiUmM6,Mon Jul 30 11:10:09 +0000 2018,-0.4939,0.0,0.741,0.259
35,CNN,Zimbabweans are voting in what many hope will be something the country has never seen before: a free and fair elect… https://t.co/5eK5TOSDTK,Mon Jul 30 10:58:18 +0000 2018,0.3607,0.201,0.695,0.104
36,CNN,Scientists are proposing the radical evolutionary step of genetically engineering mice to get rid of Lyme disease… https://t.co/mwmaya65GL,Mon Jul 30 10:47:40 +0000 2018,0.0,0.0,1.0,0.0
37,CNN,The UK Foreign Secretary accidentally called his Chinese wife Japanese. In Beijing. https://t.co/yu4dDFMg5l https://t.co/sUxQ9dU4Qp,Mon Jul 30 10:41:10 +0000 2018,-0.34,0.0,0.844,0.156
38,CNN,Scientists are borrowing cancer-fighting techniques to treat Alzheimer's https://t.co/rtJJQUJEY9,Mon Jul 30 10:34:25 +0000 2018,0.4019,0.252,0.748,0.0
39,CNN,How reporter Ronan Farrow keeps landing #MeToo scoops https://t.co/vXMelYQYEB https://t.co/vV9se8w5oP,Mon Jul 30 10:28:05 +0000 2018,0.0,0.0,1.0,0.0
40,BBC News (World),"""What happened to the Rohingya in Myanmar could happen to us here. We are afraid.""

Villagers in the Indian state o… https://t.co/9bBAPAbynj",Mon Jul 30 13:14:49 +0000 2018,0.0,0.0,1.0,0.0
41,BBC News (World),Kenya race row retailer Chandarana Foodplus defies governor https://t.co/AY27qJXzgg,Mon Jul 30 13:04:41 +0000 2018,0.0,0.0,1.0,0.0
42,BBC News (World),"RT @BBCSport: Sad news. 

Olympic cross-country skiing gold medallist Vibeke Skofterud has died in a jet-skiing accident at the age of 38.…",Mon Jul 30 12:51:00 +0000 2018,-0.8689,0.0,0.647,0.353
43,BBC News (World),Germany gripped by #MeTwo racism debate https://t.co/rD9gkdNd8y,Mon Jul 30 12:33:10 +0000 2018,-0.6249,0.0,0.594,0.406
44,BBC News (World),Julian Assange in the Ecuadorian embassy: Timeline https://t.co/JmBR57v0sD,Mon Jul 30 12:30:29 +0000 2018,0.0,0.0,1.0,0.0
45,BBC News (World),Ramsey by-election turnout 'disappointing' https://t.co/vFkpt0REAq,Mon Jul 30 12:20:25 +0000 2018,0.0,0.0,1.0,0.0
46,BBC News (World),India leopard attack: Baby injured after being snatched in Gujarat https://t.co/B9dKthEC20,Mon Jul 30 11:54:29 +0000 2018,-0.7003,0.0,0.608,0.392
47,BBC News (World),Ben-my-Chree returns after 'unprecedented' turbo failure https://t.co/QJhKIEiB02,Mon Jul 30 11:36:47 +0000 2018,-0.5106,0.0,0.645,0.355
48,BBC News (World),France shocked over video of woman being slapped by harasser https://t.co/1dhWKCZVcl,Mon Jul 30 11:28:53 +0000 2018,-0.6908,0.0,0.612,0.388
49,BBC News (World),Why Jeremy Hunt's 'Japanese' wife gaffe is a bad mistake https://t.co/QF7F2ALAHV,Mon Jul 30 11:18:20 +0000 2018,-0.7096,0.0,0.576,0.424
50,BBC News (World),"This shocking video of prison brutality has caused an outcry in Russia 

https://t.co/7ZhUO7RvAB https://t.co/OKiSkkyWsu",Mon Jul 30 10:14:32 +0000 2018,-0.9231,0.0,0.429,0.571
51,BBC News (World),Algeria profile - Timeline https://t.co/wiGpiNuvxZ,Mon Jul 30 09:10:44 +0000 2018,0.0,0.0,1.0,0.0
52,BBC News (World),Algeria country profile https://t.co/TdAyD9oAsN,Mon Jul 30 09:08:04 +0000 2018,0.0,0.0,1.0,0.0
53,BBC News (World),A mystery solved after more than 60 years https://t.co/leRo6RYbSG,Mon Jul 30 09:04:56 +0000 2018,0.2732,0.231,0.769,0.0
54,BBC News (World),RT @BBCNewsbeat: The Melbourne residents managed to trap the kangaroo in the bathroom 🇦🇺 https://t.co/FcVuTn9wBY,Mon Jul 30 08:59:59 +0000 2018,-0.3182,0.0,0.859,0.141
55,BBC News (World),Tajikistan probes 'attack' that left four foreign cyclists dead https://t.co/OFZ0UL44Iz,Mon Jul 30 08:40:52 +0000 2018,-0.6486,0.0,0.677,0.323
56,BBC News (World),Cricket Australia accused of sacking woman over abortion tweets https://t.co/c1RxNj9sAg,Mon Jul 30 07:20:46 +0000 2018,-0.296,0.0,0.804,0.196
57,BBC News (World),"RT @BBCIndia: With Bangladesh unlikely to accept them, where will these millions of people go? @soutikBBC writes.
 https://t.co/CjXFO46ljq",Mon Jul 30 07:17:25 +0000 2018,0.3818,0.133,0.867,0.0
58,BBC News (World),"RT @BBCBenThompson: As one of Britain's largest travel firms stops selling tickets to marine parks that keep killer whales, we want to know…",Mon Jul 30 07:17:19 +0000 2018,-0.6808,0.048,0.735,0.217
59,BBC News (World),What happens to India's four million 'stateless' people? https://t.co/rvyHpVB4Js,Mon Jul 30 07:05:02 +0000 2018,0.0,0.0,1.0,0.0
60,CBS News,"""Medicare for all"" plan touted by Bernie Sanders would cost $32.6 trillion, study finds https://t.co/7eqKM21V5Z https://t.co/R7Svzw7tNC",Mon Jul 30 13:29:54 +0000 2018,-0.0516,0.0,0.926,0.074
61,CBS News,Hundreds of tourists trapped on Indonesia volcano after earthquake https://t.co/v3mq1WEtJ6 https://t.co/aRy9wSIjW5,Mon Jul 30 13:14:44 +0000 2018,-0.5267,0.0,0.746,0.254
62,CBS News,DREAM DRESS: A father worked three jobs to buy his daughter her dream dress dress for the 8th grade dance. His surp… https://t.co/FGqe626d96,Mon Jul 30 13:00:21 +0000 2018,0.5766,0.191,0.809,0.0
63,CBS News,Nearly $1 million medical bill for Utah inmate highlights problem for jails https://t.co/pTWuz08caE https://t.co/gNBjzqkP2i,Mon Jul 30 12:39:34 +0000 2018,-0.4019,0.0,0.828,0.172
64,CBS News,"Sea mammal on brink of extinction targeted by ""mafias"" in Baja, Mexico https://t.co/OOzCSJnDp5 https://t.co/mE7tzp1835",Mon Jul 30 12:19:32 +0000 2018,0.0,0.0,1.0,0.0
65,CBS News,"""I was talking to my little grandson on the phone, he was saying, 'Grandpa, please, you gotta come and help us, the… https://t.co/m62WdiOhAm",Mon Jul 30 11:59:55 +0000 2018,0.6124,0.192,0.808,0.0
66,CBS News,Authorities have released dramatic body camera footage from a frantic foot chase and fatal shooting of 31-year-old… https://t.co/r4OQg0OhIL,Mon Jul 30 11:40:22 +0000 2018,-0.7506,0.0,0.701,0.299
67,CBS News,Probe into Flight 370 mystery highlights shortcomings https://t.co/iT8MCvRkNH https://t.co/gwm5vGDosK,Mon Jul 30 11:20:01 +0000 2018,0.0,0.0,1.0,0.0
68,CBS News,California wildfires: Firefighter struck by a tree and killed while working as part of a crew removing brush and ot… https://t.co/RMb7t0YUsc,Mon Jul 30 10:59:41 +0000 2018,-0.7579,0.0,0.723,0.277
69,CBS News,"The #CarrFire has burned nearly 150 square miles and has killed six people, including three members of one family.… https://t.co/m0BKdySgab",Mon Jul 30 10:47:50 +0000 2018,-0.6705,0.0,0.809,0.191
70,CBS News,13 killed as van carrying wedding party in Vietnam slams into truck https://t.co/D0mbfMhB2O https://t.co/R1HHgJACgS,Mon Jul 30 10:39:56 +0000 2018,-0.4215,0.141,0.625,0.234
71,CBS News,"Ahead on @CBSThisMorning, Trayvon Martin's father joins us in Studio 57 along with filmmakers Jenner Furst and Juli… https://t.co/JJ3ztWfvEc",Mon Jul 30 10:34:58 +0000 2018,0.0,0.0,1.0,0.0
72,CBS News,Minneapolis police release bodycam videos in fatal shooting of black man https://t.co/3rGitPEyta https://t.co/mS5QuLVtYz,Mon Jul 30 10:19:31 +0000 2018,-0.5423,0.0,0.774,0.226
73,CBS News,Egyptian court sentences 75 to death for their involvement in a 2013 sit-in https://t.co/76t4l7zLEp https://t.co/Giio7vSoOJ,Mon Jul 30 10:03:03 +0000 2018,-0.5719,0.07,0.702,0.228
74,CBS News,"For 1st time in almost 40 years, a Zimbabwe election without Mugabe https://t.co/Lig15JcAiL https://t.co/KoL8lzJ5Js",Mon Jul 30 09:56:05 +0000 2018,0.0,0.0,1.0,0.0
75,CBS News,Animal influencers: How pets earn big bucks as Instagram stars https://t.co/CziQmwnq9S https://t.co/d7YevfHT7L,Mon Jul 30 09:48:04 +0000 2018,0.0,0.0,1.0,0.0
76,CBS News,New details emerge in case of missing University of Iowa student https://t.co/O4fojPX8KJ https://t.co/DGjVhioHVE,Mon Jul 30 09:33:04 +0000 2018,-0.296,0.0,0.845,0.155
77,CBS News,Trump backers stand by president in face of Russia criticism — CBS poll https://t.co/Aw6T8ukiye https://t.co/bcFFiSTytH,Mon Jul 30 09:18:03 +0000 2018,-0.4404,0.0,0.818,0.182
78,CBS News,The Dish: Chef Edouardo Jordan brings the South to Seattle https://t.co/kcN5QV6ett https://t.co/4GdNlexGlo,Mon Jul 30 09:03:03 +0000 2018,0.0,0.0,1.0,0.0
79,CBS News,Probe into Flight 370 mystery highlights shortcomings https://t.co/QDhqzL31qi https://t.co/nviwU4L6Ah,Mon Jul 30 08:54:06 +0000 2018,0.0,0.0,1.0,0.0
80,The New York Times,"RT @UpshotNYT: As the battleground map comes into focus, it’s becoming increasingly clear that some developments of the last few years have…",Mon Jul 30 13:31:05 +0000 2018,-0.0258,0.103,0.791,0.107
81,The New York Times,President Trump tweeted on Sunday that he would be willing to shut down the government if Democrats do not give him… https://t.co/QhhhMxqeZe,Mon Jul 30 13:15:06 +0000 2018,0.0,0.0,1.0,0.0
82,The New York Times,Morning Briefing: Here's what you need to know to start your day https://t.co/K6Pipicsxw https://t.co/dAkGai5bzh,Mon Jul 30 13:00:15 +0000 2018,0.0,0.0,1.0,0.0
83,The New York Times,"""It was impossible to do the work. It was hell,"" said a man in an Algerian town that recorded 124 degrees Fahrenhei… https://t.co/PesjYqNjen",Mon Jul 30 12:45:10 +0000 2018,0.0,0.0,1.0,0.0
84,The New York Times,Paul Manafort used at least 4 offshore accounts to wire more than 2 million euros to pay the group of former politi… https://t.co/UxzppMEP3Q,Mon Jul 30 12:30:00 +0000 2018,-0.1027,0.0,0.935,0.065
85,The New York Times,"Documents filed by Robert Mueller last month showed that Alan Friedman, an Italian media celebrity, worked closely… https://t.co/o3Hrjbf3vq",Mon Jul 30 12:15:08 +0000 2018,0.0,0.0,1.0,0.0
86,The New York Times,"Your daily @DealBook Briefing:

• Accusations against CBS’s CEO could spur a Viacom deal. 

• The Bank of England g… https://t.co/GUifxCvATd",Mon Jul 30 12:03:04 +0000 2018,-0.3182,0.0,0.881,0.119
87,The New York Times,"Review: Santigold's latest album tackles themes like autonomy, eccentricity and societal critique and wraps them in… https://t.co/TSKNhGIJpw",Mon Jul 30 11:46:32 +0000 2018,0.3612,0.135,0.865,0.0
88,The New York Times,"RT @mattfleg: ""So many people think they know me,"" Cynthia Nixon says. She thinks otherwise. Our deep look at her long-shot challenge to An…",Mon Jul 30 11:36:56 +0000 2018,0.0772,0.053,0.947,0.0
89,The New York Times,An environmental activist received an urgent government warning on Saturday to evacuate his home immediately. But i… https://t.co/Nn4zjLnzLM,Mon Jul 30 11:30:09 +0000 2018,-0.1531,0.089,0.792,0.119
90,The New York Times,"The ACLU has been changing tactics, and one of its models for the future is the NRA https://t.co/ckH3xKChh8",Mon Jul 30 11:15:03 +0000 2018,0.0,0.0,1.0,0.0
91,The New York Times,"""We're going to have a challenging midterm anyway, and I don't see how putting the attention on shutting down the g… https://t.co/Jg3IgJOMzn",Mon Jul 30 11:00:11 +0000 2018,0.1531,0.078,0.922,0.0
92,The New York Times,"""We don't need floods or anything. We just need some average rain."" Farmers in an area of southeastern Australia ha… https://t.co/FIA4WF5eFr",Mon Jul 30 10:44:04 +0000 2018,0.0,0.0,1.0,0.0
93,The New York Times,A polar bear was shot and killed after it attacked and injured a guard from a cruise ship that had stopped at an Ar… https://t.co/hk0mjpVstt,Mon Jul 30 10:30:06 +0000 2018,-0.9022,0.0,0.598,0.402
94,The New York Times,What does it actually mean for a crop to be genetically modified? https://t.co/LDZDyVp3Ft,Mon Jul 30 10:16:06 +0000 2018,0.0,0.0,1.0,0.0
95,The New York Times,Morning Briefing: Here's what you need to know to start your day https://t.co/de1e5ZGsx9 https://t.co/CnwyDnTQLK,Mon Jul 30 10:00:06 +0000 2018,0.0,0.0,1.0,0.0
96,The New York Times,"The question was not who would win. Instead, the real mystery was whether Cambodians were so deeply disenchanted wi… https://t.co/D0xP3vFjGb",Mon Jul 30 09:45:03 +0000 2018,-0.4717,0.0,0.861,0.139
97,The New York Times,"Laos's approach to development has paid off handsomely for domestic elites, while often leaving the rural poor at t… https://t.co/cpcrcapKt4",Mon Jul 30 09:31:02 +0000 2018,-0.0516,0.121,0.75,0.129
98,The New York Times,"At a last-minute news conference on Sunday, Robert Mugabe said he ""can't vote for those who have tormented me."" https://t.co/KgSwNOq8yr",Mon Jul 30 09:15:02 +0000 2018,0.0,0.0,1.0,0.0
99,The New York Times,"A sixth person has died in the Carr Fire in Northern California, the authorities said https://t.co/tyHE1VCKRI",Mon Jul 30 09:00:12 +0000 2018,-0.7184,0.0,0.684,0.316
100,Fox News,"Bernie Sanders' 'Medicare for all' bill estimated to cost $32.6T, new study says https://t.co/COty3USLTN",Mon Jul 30 13:32:42 +0000 2018,0.0,0.0,1.0,0.0
101,Fox News,MH370 report says someone deliberately 'manipulated’ plane’s controls https://t.co/C2maQRmurT,Mon Jul 30 13:19:03 +0000 2018,0.0,0.0,1.0,0.0
102,Fox News,"New York brothers wake up to find intruder, beat and stab burglar to death, cops say https://t.co/wwbKOqCAz2",Mon Jul 30 13:17:40 +0000 2018,-0.8271,0.0,0.661,0.339
103,Fox News,India could strip 4 million of citizenship in northeast region https://t.co/V5mJOE2vmm,Mon Jul 30 13:04:45 +0000 2018,0.0,0.0,1.0,0.0
104,Fox News,Report: US Therapists See Increase in Patients With 'Trump Anxiety Disorder' https://t.co/juMOo5pD46,Mon Jul 30 12:47:12 +0000 2018,-0.2732,0.146,0.573,0.28
105,Fox News,David Logan: “We are hopeful that we can have more closure for the families who have lost loved ones in the Korean… https://t.co/W78ZoPSeVr,Mon Jul 30 12:41:47 +0000 2018,0.7096,0.244,0.678,0.078
106,Fox News,Meghan Markle's dad slammed by Chrissy Teigen for 'embarrassing' comments https://t.co/C7lQCtGgyy,Mon Jul 30 12:29:43 +0000 2018,0.0,0.0,1.0,0.0
107,Fox News,Rudy Giuliani: “You could investigate an innocent man forever.” https://t.co/JDpn7NPBo7,Mon Jul 30 12:04:00 +0000 2018,0.34,0.211,0.789,0.0
108,Fox News,Rudy Giuliani: “Everything that’s been released so far shows the president to be absolutely innocent. He didn’t do… https://t.co/biWQ4yvZ6e,Mon Jul 30 12:01:00 +0000 2018,0.4005,0.13,0.87,0.0
109,Fox News,Confederate monuments report raises idea of changing Texas capital's name https://t.co/JWB5nbdIIM,Mon Jul 30 11:54:19 +0000 2018,0.0,0.0,1.0,0.0
110,Fox News,Chick-fil-A's Canadian expansion sparks pro-LGBTQ protests https://t.co/gSfVnX1coy,Mon Jul 30 11:51:13 +0000 2018,-0.2263,0.0,0.759,0.241
111,Fox News,OPINION: @GiannoCaldwell: Chicago's gun violence is intolerable -- Trump should provide help https://t.co/iAg2BLc8Ab,Mon Jul 30 11:29:10 +0000 2018,-0.5859,0.141,0.521,0.339
112,Fox News,.@newtgingrich: “His policies are working.” https://t.co/loe3wmqtD8,Mon Jul 30 11:19:42 +0000 2018,0.0,0.0,1.0,0.0
113,Fox News,".@newtgingrich: “Is it more radical to want to have a wall, or is it more radical to want to have open borders?” https://t.co/O2uy6FTNDs",Mon Jul 30 11:16:21 +0000 2018,0.2795,0.135,0.865,0.0
114,Fox News,Ginsburg hopes to serve 'at least' five more years on Supreme Court https://t.co/aN2NvxMvbY,Mon Jul 30 10:44:29 +0000 2018,0.7693,0.377,0.623,0.0
115,Fox News,".@dbongino: “Tax reform was just monumental, we see now the effects on the economy, 4.1% growth.” https://t.co/zrtKXCvJPQ",Mon Jul 30 10:39:15 +0000 2018,0.0,0.0,1.0,0.0
116,Fox News,.@kayleighmcenany: “There’s this very disturbing trend within the Democratic Party towards socialism.” https://t.co/QQ6lZe3N7Z,Mon Jul 30 10:28:41 +0000 2018,-0.2247,0.156,0.636,0.208
117,Fox News,Martina White: “It’s truly shocking that the mayor was willing to end a contract that was actually helping to keep… https://t.co/rMtkvpJcCd,Mon Jul 30 10:21:47 +0000 2018,0.34,0.206,0.685,0.109
118,Fox News,Prankster puts Putin's portrait in Trump's place at Colorado Capitol https://t.co/FbHNPskAOn,Mon Jul 30 10:14:41 +0000 2018,0.0,0.0,1.0,0.0
119,Fox News,.@CarleyShimkus is live with the 'Fox News Update' on Facebook Watch: https://t.co/yq4SFGVnY5 https://t.co/D4YmT4zD2F,Mon Jul 30 10:10:32 +0000 2018,0.0,0.0,1.0,0.0
120,CNN,Twitter has hired researchers to examine the health of conversations on its platform https://t.co/0yc1x6vVNJ,Mon Jul 30 13:36:39 +0000 2018,0.0,0.0,1.0,0.0
121,CNN,"🚨 RECALL ALERT: 
A Chinese company is recalling tainted heart medicine from stores worldwide after it was found to… https://t.co/E8hHdMzHyU",Mon Jul 30 13:26:12 +0000 2018,0.4466,0.147,0.853,0.0
122,CNN,"RT @CNNPolitics: Giuliani: ""I don't even know if that's a crime, colluding about Russians. You start analyzing the crime — the hacking is t…",Mon Jul 30 13:16:22 +0000 2018,-0.8481,0.0,0.674,0.326
123,CNN,"President Donald Trump's lawyer, Rudy Giuliani, says he's not sure collusion is a crime https://t.co/NnPSNCC7Fk https://t.co/VtzTa4BDzJ",Mon Jul 30 13:16:03 +0000 2018,-0.6664,0.0,0.704,0.296
124,CNN,"In a previously undisclosed TSA program, federal air marshals are tracking American citizens not suspected of a cri… https://t.co/VJpFUR0Xfr",Mon Jul 30 13:05:41 +0000 2018,0.1695,0.094,0.906,0.0
125,CNN,The best travel photos of 2018 (so far) https://t.co/5EqHrlzZhf https://t.co/3egbBpHL2F,Mon Jul 30 12:55:11 +0000 2018,0.6369,0.318,0.682,0.0
126,CNN,'Rest in Power: The Trayvon Martin Story' leads a wave of new documentaries about racial justice… https://t.co/Fxb3q9WARp,Mon Jul 30 12:42:57 +0000 2018,0.0,0.0,1.0,0.0
127,CNN,"Top Koch network official says, ""The divisiveness of this White House is causing long-term damage""… https://t.co/1kCcq3fcr0",Mon Jul 30 12:32:44 +0000 2018,0.2023,0.107,0.893,0.0
128,CNN,President Donald Trump's re-election campaign has denied it is using Chinese manufacturers to produce campaign flag… https://t.co/xX1trbMUXm,Mon Jul 30 12:20:17 +0000 2018,-0.4404,0.0,0.847,0.153
129,CNN,"Alcohol in breast milk may lead to lower cognition in kids, study finds https://t.co/tOhWphxOWx https://t.co/HeFmBqJb7l",Mon Jul 30 12:08:02 +0000 2018,-0.296,0.0,0.864,0.136
130,CNN,A German cruise line is facing outrage after one of its employees shot and killed a wild polar bear in Norway after… https://t.co/hFdt7KMJX4,Mon Jul 30 11:55:41 +0000 2018,-0.8316,0.0,0.709,0.291
131,CNN,Man spoke with his wife in the moments before she and 2 great-grandkids died in California's Carr Fire… https://t.co/cgkcEAdV2E,Mon Jul 30 11:43:51 +0000 2018,-0.5574,0.0,0.825,0.175
132,CNN,Australian Archbishop Philip Wilson resigns after sex abuse coverup https://t.co/nG8gtm1k81 https://t.co/v9QaSRyllC,Mon Jul 30 11:32:14 +0000 2018,-0.7579,0.0,0.581,0.419
133,CNN,Safety measures will be in place to protect mourners at the funeral of a Novichok victim in the UK https://t.co/dQ9adpJkxB,Mon Jul 30 11:21:02 +0000 2018,-0.25,0.201,0.522,0.276
134,CNN,More than 4 million people have been excluded from Indian citizenship in a controversial registry… https://t.co/r90hOiUmM6,Mon Jul 30 11:10:09 +0000 2018,-0.4939,0.0,0.741,0.259
135,CNN,Zimbabweans are voting in what many hope will be something the country has never seen before: a free and fair elect… https://t.co/5eK5TOSDTK,Mon Jul 30 10:58:18 +0000 2018,0.3607,0.201,0.695,0.104
136,CNN,Scientists are proposing the radical evolutionary step of genetically engineering mice to get rid of Lyme disease… https://t.co/mwmaya65GL,Mon Jul 30 10:47:40 +0000 2018,0.0,0.0,1.0,0.0
137,CNN,The UK Foreign Secretary accidentally called his Chinese wife Japanese. In Beijing. https://t.co/yu4dDFMg5l https://t.co/sUxQ9dU4Qp,Mon Jul 30 10:41:10 +0000 2018,-0.34,0.0,0.844,0.156
138,CNN,Scientists are borrowing cancer-fighting techniques to treat Alzheimer's https://t.co/rtJJQUJEY9,Mon Jul 30 10:34:25 +0000 2018,0.4019,0.252,0.748,0.0
139,CNN,How reporter Ronan Farrow keeps landing #MeToo scoops https://t.co/vXMelYQYEB https://t.co/vV9se8w5oP,Mon Jul 30 10:28:05 +0000 2018,0.0,0.0,1.0,0.0
140,BBC News (World),"""What happened to the Rohingya in Myanmar could happen to us here. We are afraid.""

Villagers in the Indian state o… https://t.co/9bBAPAbynj",Mon Jul 30 13:14:49 +0000 2018,0.0,0.0,1.0,0.0
